Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Valeur
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2577","Huile de Palme","2013","2013","29"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2578","Huile de Coco","2013","2013","1"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2579","Huile de Sésame","2013","2013","0"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2580","Huile d'Olive","2013","2013","68"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2582","Huile de Germe de Maïs","2013","2013","2"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2586","Huil Plantes Oleif Autr","2013","2013","78"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2601","Tomates","2013","2013","1073"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2602","Oignons","2013","2013","1277"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2605","Légumes, Autres","2013","2013","4147"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2611","Oranges, Mandarines","2013","2013","1116"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2612","Citrons & Limes","2013","2013","75"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2613","Pamplemousse","2013","2013","3"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2614","Agrumes, Autres","2013","2013","9"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2615","Bananes","2013","2013","247"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2616","Bananes plantains","2013","2013","0"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2617","Pommes","2013","2013","544"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2618","Ananas","2013","2013","10"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2619","Dattes","2013","2013","821"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2620","Raisin","2013","2013","512"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2625","Fruits, Autres","2013","2013","1141"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2630","Café","2013","2013","129"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2633","Feve de Cacao","2013","2013","41"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2635","Thé","2013","2013","13"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2640","Poivre","2013","2013","4"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2641","Piments","2013","2013","19"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2642","Girofles","2013","2013","0"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2645","Épices, Autres","2013","2013","10"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2655","Vin","2013","2013","0"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2656","Bière","2013","2013","188"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2657","Boissons Fermentés","2013","2013","0"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2658","Boissons Alcooliques","2013","2013","7"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2680","Aliments pour enfants","2013","2013","22"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2511","Blé","2013","2013","6900"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","277"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2513","Orge","2013","2013","25"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2514","Maïs","2013","2013","1003"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2515","Seigle","2013","2013","793"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2516","Avoine","2013","2013","127"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2517","Millet","2013","2013","10"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2520","Céréales, Autres","2013","2013","56"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2531","Pommes de Terre","2013","2013","5084"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2534","Racines, Nda","2013","2013","0"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2537","Sucre, betterave","2013","2013","0"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2542","Sucre Eq Brut","2013","2013","2946"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2543","Edulcorants Autres","2013","2013","980"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2745","Miel","2013","2013","86"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2546","Haricots","2013","2013","8"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2547","Pois","2013","2013","38"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2549","Légumineuses Autres","2013","2013","14"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2551","Noix","2013","2013","554"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2555","Soja","2013","2013","72"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2556","Arachides Decortiquees","2013","2013","105"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2558","Graines Colza/Moutarde","2013","2013","23"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2560","Coco (Incl Coprah)","2013","2013","46"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2563","Olives","2013","2013","66"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2570","Plantes Oleiferes, Autre","2013","2013","9"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2571","Huile de Soja","2013","2013","430"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2572","Huile d'Arachide","2013","2013","4"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2573","Huile de Tournesol","2013","2013","264"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2574","Huile de Colza&Moutarde","2013","2013","454"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2576","Huile de Palmistes","2013","2013","0"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2577","Huile de Palme","2013","2013","237"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2578","Huile de Coco","2013","2013","2"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2579","Huile de Sésame","2013","2013","12"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2580","Huile d'Olive","2013","2013","62"
"FBS","Bilans Alimentaires","79","Allemagne","5142","Nourriture","2582","Huile de Germe de Maïs","2013","2013","12"
