Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","9","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","8","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","203","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","9","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","211","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","95","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","366","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","35","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","36","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","50","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","16","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","8","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","11","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","23","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","7863","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","125","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","2525","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","9016","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","23","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","26","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","27","Bulgarie","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","28","S","Données standardisées"
"FBS","Bilans Alimentaires","27","Bulgarie","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","27","Bulgarie","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","190","S","Données standardisées"
"FBS","Bilans Alimentaires","27","Bulgarie","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","149","S","Données standardisées"
"FBS","Bilans Alimentaires","27","Bulgarie","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","9","S","Données standardisées"
"FBS","Bilans Alimentaires","233","Burkina Faso","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","76","S","Données standardisées"
"FBS","Bilans Alimentaires","233","Burkina Faso","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","41","S","Données standardisées"
