Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","256","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","80","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","63","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","1243","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","96","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","25","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","9","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","11","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","135","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","552","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","441","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","14","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","90","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","533","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","288","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","415","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","9","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","24","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","358","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","296","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","77","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","14","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","78","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","41","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","10","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","10620","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","6437","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","5612","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","437","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","180","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","32","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","27","Bulgarie","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","875","S","Données standardisées"
"FBS","Bilans Alimentaires","27","Bulgarie","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","16","S","Données standardisées"
"FBS","Bilans Alimentaires","27","Bulgarie","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","6","S","Données standardisées"
